kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
wisata alam,Pulau Flores,-8.5100369,120.5981537,"Flores, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,
wisata alam,Pulau Gam,-0.4658697,130.6398411,"Pulau Gam, Kabui, Raja Ampat, Papua Barat Daya, Western New Guinea, Indonesia",Papua Barat Daya,Raja Ampat
wisata alam,Pulau Gili Banta,-8.4305606,119.2853381,"Pulau Gili Banta, Bajopulau, Bima, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,
wisata alam,Pulau Halmahera,0.6536435,127.9319556,"Pulau Halmahera, Maluku Utara, Maluku, Indonesia",Maluku Utara,Maluku
wisata alam,Pulau Kakaban,2.1399777,118.5395082,"Pulau Kakaban, Maratua Payung-payung, Berau, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Berau
wisata alam,Pulau Kapoposang,-4.7,118.95,"Pulau Kapoposang, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Sulawesi
wisata alam,Pulau Karimata,-1.6059608,108.9062009,"Pulau Karimata, Padang, Kepulauan Karimata, Kayong Utara, Kalimantan Barat, Kalimantan, Indonesia",Kalimantan Barat,Kayong Utara
wisata alam,Pulau Katingan,-3.22976,113.3275273,"Pulau Burung, Pegatan Hulu, Katingan, Kalimantan Tengah, Kalimantan, Indonesia",Kalimantan Tengah,Katingan
wisata alam,Pulau Kei Kecil,-5.7714884,132.73776,"Pulau Kei Kecil (Nuhu Roa), Maluku Tenggara, Maluku, 97611, Indonesia",Maluku,Maluku Tenggara
wisata alam,Pulau Kelapa,-5.8729463,105.7570682,"Pulau Kelapa, Bakauheni, Lampung Selatan, Lampung, Sumatera, Indonesia",Lampung,Lampung Selatan
wisata alam,Pulau Kemaro,-2.9798369,104.8199048,"Pulau Kemaro, Kalidoni, Palembang, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Palembang
wisata alam,Pulau Kenawa,-8.4985718,116.832948,"Pulau Kenawa, Sumbawa Barat, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Sumbawa Barat
wisata alam,Pulau Kepayang,-2.5486082,107.6509146,"Pulau Kepayang, Belitung, Kepulauan Bangka Belitung, Sumatera, Indonesia",Kepulauan Bangka Belitung,Belitung
wisata alam,Pulau Ketawai,-2.2657969,106.32784,"Pulau Ketawai, Bangka Tengah, Kepulauan Bangka Belitung, Sumatera, Indonesia",Kepulauan Bangka Belitung,Bangka Tengah
wisata alam,Pulau Kodingareng,-5.1490655,119.2648071,"Pulau Kodingarenglompo, Kodingareng, Kepulauan Sangkarrang, Makassar, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Makassar
wisata alam,Pulau Komodo,-8.5891905,119.4624119,"Pulau Komodo, Kampung Komodo, Manggarai Barat, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Manggarai Barat
wisata alam,Pulau Kri,-0.5672263,130.6586583,"Pulau Kri, Yenbuba, Raja Ampat, Papua Barat Daya, Western New Guinea, Indonesia",Papua Barat Daya,Raja Ampat
wisata alam,Pulau Legundi,-5.8142911,105.2929993,"Pulau Legundi, Pesawaran, Lampung, Sumatera, Indonesia",Lampung,Pesawaran
