kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
cafe view,Cafe D'Pakar Bandung,-6.8467341,107.6498632,"Cafe D'Pakar, Jalan Sekejolang, Ciburial, Kabupaten Bandung, Jawa Barat, Jawa, 40197, Indonesia",Jawa Barat,Kabupaten Bandung
lembah,Lembah Harau Sumatera Barat,-0.1006493,100.6637256,"Cagar Alam Lembah Harau, Lima Puluh Kota, Sumatera Barat, Sumatera, Indonesia",Sumatera Barat,Lima Puluh Kota
candi,Candi Abang,-7.8102254,110.4687098,"Candi Abang, Jalan Jogotirto, Jogotirto, Berbah, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55572, Indonesia",Daerah Istimewa Yogyakarta,Sleman
candi,Candi Badut,-7.9578365,112.5985999,"Candi Badut, Jalan Esberg VE 5, Kota Malang, Jawa Timur, Jawa, 65112, Indonesia",Jawa Timur,Kota Malang
candi,Candi Bajang Ratu,-7.5677817,112.3986624,"Candi Bajang Ratu, Jalan Jayanegara 01, Trowulan, Mojokerto, Jawa Timur, Jawa, 61362, Indonesia",Jawa Timur,Trowulan
candi,Candi Bima,-7.2143272,109.9105109,"Candi Bima, Jalan Rake Sanjaya, Siterus, Dieng, Wonosobo, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Wonosobo
candi,Candi Brahu,-7.5428461,112.3743975,"Candi Brahu, Jalan Raden Wijaya, Kejagan, Trowulan, Mojokerto, Jawa Timur, Jawa, 61362, Indonesia",Jawa Timur,Kejagan
candi,Candi Bubrah,-7.7465115,110.4929587,"Candi Bubrah, Jalan Candi Sewu, Tlogo, Klaten, Jawa Tengah, Jawa, 57454, Indonesia",Jawa Tengah,Klaten
candi,Candi Cangkuang,-7.102927,107.9188749,"Candi Cangkuang, Jalan Soekarno Hatta, Cangkuang, Leles, Garut, Jawa Barat, Jawa, 44152, Indonesia",Jawa Barat,Cangkuang
candi,Candi Cetho,-7.5957362,111.1581311,"Candi Cetho, Gunung Lawu Track via Candi Cetho, Ngawi, Karanganyar, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Ngawi
candi,Candi Gunung Wukir,-7.6342335,110.2968591,"Candi Gunung Wukir, Tirto, Salam, Magelang, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Magelang
candi,Candi Gunung Gangsir,-7.5866825,112.7333068,"Candi Gununggangsir, Jalan Wicaksono, Winong, Pasuruan, Jawa Timur, Jawa, 67154, Indonesia",Jawa Timur,Pasuruan
candi,Candi Ijo,-7.7837641,110.5114895,"Candi Ijo, Alternatif Prambanan-Lemahbang, Sambirejo, Prambanan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55572, Indonesia",Daerah Istimewa Yogyakarta,Sleman
candi,Candi Jago,-8.0057895,112.7640934,"Candi Jago, Jalan Raya Tumpang, Malangsuko, Tumpang, Kabupaten Malang, Jawa Timur, Jawa, 65156, Indonesia",Jawa Timur,Kabupaten Malang
candi,Candi Jawi,-7.6624877,112.669879,"Candi Jawi, Jalan Raya Prigen, Prigen, Pasuruan, Jawa Timur, Jawa, 67161, Indonesia",Jawa Timur,Pasuruan
candi,Candi Kadisoka,-7.7552364,110.4458063,"Candi Kadisoka, Jalan Soka, Maguwoharjo, Depok, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55571, Indonesia",Daerah Istimewa Yogyakarta,Sleman
candi,Candi Kalasan,-7.7668063,110.4723996,"Candi Kalasan, Kalasan, Tirtomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta, Jawa, Indonesia",Daerah Istimewa Yogyakarta,Sleman
candi,Candi Kedulan,-7.7425947,110.4697271,"Candi Kedulan, Jalan Raya Kalimati, Tirtomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55571, Indonesia",Daerah Istimewa Yogyakarta,Sleman
candi,Candi Kidal,-8.0258552,112.7090269,"Candi Kidal, Jalan Raya Kidal, Jeding, Kidal, Kabupaten Malang, Jawa Timur, Jawa, 65156, Indonesia",Jawa Timur,Kabupaten Malang
candi,Candi Kimpulan,-7.6883659,110.4153318,"Candi Kimpulan, Boulevard UII, Turi Rejo, Sardonoharjo, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55582, Indonesia",Daerah Istimewa Yogyakarta,Sleman
candi,Candi Lumbung,-7.7481201,110.4929439,"Candi Lumbung, Tlogo, Klaten, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Klaten
wisata religi,Candi Mendut,-7.6048222,110.2301202,"Candi Mendut, Jalan Mayor Kusen, Ngrajek, Mendut, Magelang, Jawa Tengah, Jawa, 56511, Indonesia",Jawa Tengah,Magelang
candi,Candi Muara Takus,0.3359614,100.6421489,"Candi Muara Takus, Jalan Simpang Muara Takus - Bandur Picak (Batas Kab. Rokan Hulu), Muara Takus, Kampar, Riau, Sumatera, Indonesia",Riau,Kampar
wisata religi,Candi Pawon,-7.6061281,110.2195602,"Candi Pawon, Jalan Balaputera Dewa, Wanurejo, Borobudur, Magelang, Jawa Tengah, Jawa, 56553, Indonesia",Jawa Tengah,Magelang
candi,Candi Penataran,-8.0161052,112.2092511,"Candi Penataran, Jalan Insinyur Soekarno, Kedawung, Blitar, Jawa Timur, Jawa, 66181, Indonesia",Jawa Timur,Blitar
candi,Candi Belahan,-7.6075227,112.6513504,"Candi Petirtaan Belahan, Penanggungan via Kunjorowesi, Pasuruan, Jawa Timur, Jawa, 61375, Indonesia",Jawa Timur,Pasuruan
wisata religi,Candi Plaosan,-7.74056,110.5045511,"Candi Plaosan Lor, Jalan Prambanan - Manisrenggo, Kebondalem Lor, Klaten, Jawa Tengah, Jawa, 57454, Indonesia",Jawa Tengah,Klaten
wisata religi,Candi Prambanan,-7.7522269,110.4915331,"Candi Prambanan, Jalan Jogja - Solo, Bokoharjo, Prambanan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 57454, Indonesia",Daerah Istimewa Yogyakarta,Sleman
candi,Candi Sambisari,-7.7623668,110.446949,"Candi Sambisari, Jalan Masjid II, Purwomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55571, Indonesia",Daerah Istimewa Yogyakarta,Sleman
candi,Candi Sari,-7.7615065,110.4742174,"Candi Sari, Jalan Jogja - Solo, Kalasan, Tirtomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta, Jawa, 55571, Indonesia",Daerah Istimewa Yogyakarta,Sleman
candi,Candi Sewu,-7.7443372,110.4928925,"Candi Sewu, Bugisan, Klaten, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Klaten
