nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten
Danau Tamblingan,-8.2573226,115.0964432,"Danau Tamblingan, Buleleng, Bali, Nusa Tenggara, Indonesia",Bali,Buleleng
Danau Tondano,1.2270186,124.8890017,"Danau Tondano, Touliang Oki, Minahasa, Sulawesi Utara, Sulawesi, Indonesia",Sulawesi Utara,Sulawesi
Danau Sebangau,-2.20636,114.004882,"Danau Tundai, Palangka Raya, Kalimantan Tengah, Kalimantan, Indonesia",Kalimantan Tengah,Palangka Raya
Danau Teluk Gelam,-3.5651185,104.7942738,"Danau Wisata Teluk Gelam, Jalan Lintas Timur, Ulak Ketapang, Teluk Gelam, Ogan Komering Ilir, Sumatera Selatan, Sumatera, Indonesia",Sumatera Selatan,Ogan Komering Ilir
Mall Daya Makassar,-5.110583,119.5102471,"Daya Grand Square, Jalan Garuda, Daya, Biringkanaya, Makassar, Sulawesi Selatan, Sulawesi, 90615, Indonesia",Sulawesi Selatan,Makassar
Dieng Plateau,-7.2157925,109.9065646,"Dieng Plateau, Banjarnegara, Jawa Tengah, Jawa, Indonesia",Jawa Tengah,Banjarnegara
Bali Mall,-8.7282188,115.1680137,"Discovery Mall Bali, Jalan Kartika Plaza, Kuta, Badung, Bali, Nusa Tenggara, 80361, Indonesia",Bali,Badung
Dunia Fantasi,-6.1242122,106.832156,"Dunia Fantasi, Marina, Kawasan Wisata Ancol, Ancol, Pademangan, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, 14430, Indonesia",,Daerah Khusus ibukota Jakarta
Dusun Bambu,-6.7899841,107.5786457,"Dusun Bambu, #KM 11, Jalan Kolonel Masturi, RW 14 KEL. CIHANJUANG RAHAYU KEC. PAROMPONG KAB. BANDUNG BARAT, Villa Istana Bunga, Karyawangi, Bandung Barat, Jawa Barat, Jawa, 40551, Indonesia",Jawa Barat,Bandung Barat
Eco Green Park,-7.8876615,112.5267665,"Eco Green Park, Oro-oro Ombo, Kota Batu, Klojen, Jawa Timur, Jawa, 65316, Indonesia",Jawa Timur,Kota Batu
Farmhouse Lembang,-6.8321699,107.6057512,"Farmhouse Lembang, 14, Gudangkahuripan, Bandung Barat, Jawa Barat, Jawa, Indonesia",Jawa Barat,Bandung Barat
Pulau Flores,-8.5100369,120.5981537,"Flores, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,
Gunung Puncak Jaya,-4.2065192,138.5976675,"Gambu, Lanny Jaya, Papua Pegunungan, Western New Guinea, Indonesia",Papua Pegunungan,Lanny Jaya
Setu Babakan,-6.3419991,106.8203244,"Gang Datuk Setu Babakan II, RW 08, Srengseng Sawah, Jagakarsa, Jakarta Selatan, Daerah Khusus ibukota Jakarta, Jawa, 12640, Indonesia",,Daerah Khusus ibukota Jakarta
Kampung Bugis,0.5121711,117.5972392,"Gang Kampung Bugis, Kutai Timur, Kalimantan Timur, Kalimantan, Indonesia",Kalimantan Timur,Kutai Timur
Taman Kota Samarinda,-0.491098,117.1532192,"Gang Taman, Pelita, Samarinda Ilir, Samarinda, Kalimantan Timur, Kalimantan, 75242, Indonesia",Kalimantan Timur,Samarinda
Ciletuh Geopark,-7.0413411,106.546804,"Geopark Ciletuh, Loji, Kab Sukabumi, Jawa Barat, Jawa, 43364, Indonesia",Jawa Barat,Kab Sukabumi
Gili Air,-8.3577073,116.081162,"Gili Air, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara
